#      x          Cp  
     1.00000    0.17882
     0.99223    0.15134
     0.98119    0.11393
     0.96821    0.07496
     0.95402    0.03751
     0.93925    0.00302
     0.92423   -0.02836
     0.90911   -0.05705
     0.89394   -0.08351
     0.87875   -0.10817
     0.86355   -0.13135
     0.84833   -0.15333
     0.83310   -0.17430
     0.81787   -0.19445
     0.80262   -0.21390
     0.78736   -0.23278
     0.77210   -0.25117
     0.75683   -0.26916
     0.74156   -0.28682
     0.72628   -0.30421
     0.71099   -0.32139
     0.69570   -0.33841
     0.68040   -0.35530
     0.66511   -0.37212
     0.64981   -0.38890
     0.63451   -0.40568
     0.61920   -0.42249
     0.60390   -0.43937
     0.58860   -0.45635
     0.57330   -0.47346
     0.55800   -0.49074
     0.54271   -0.50822
     0.52742   -0.52594
     0.51213   -0.54393
     0.49685   -0.56223
     0.48158   -0.58089
     0.46631   -0.59996
     0.45106   -0.61949
     0.43581   -0.63955
     0.42058   -0.66020
     0.40536   -0.68152
     0.39015   -0.70360
     0.37497   -0.72651
     0.35980   -0.75036
     0.34467   -0.77514
     0.32957   -0.80133
     0.31456   -0.82980
     0.29971   -0.87958
     0.28517   -0.97258
     0.27078   -0.99150
     0.25648   -1.01449
     0.24224   -1.03699
     0.22807   -1.05768
     0.21396   -1.07622
     0.19992   -1.09255
     0.18596   -1.10670
     0.17209   -1.11874
     0.15834   -1.12876
     0.14471   -1.13688
     0.13124   -1.14321
     0.11796   -1.14793
     0.10490   -1.15125
     0.09215   -1.15346
     0.07980   -1.15491
     0.06801   -1.15603
     0.05698   -1.15730
     0.04697   -1.15909
     0.03820   -1.16148
     0.03077   -1.16402
     0.02462   -1.16580
     0.01959   -1.16546
     0.01547   -1.16124
     0.01208   -1.15086
     0.00928   -1.13128
     0.00696   -1.09815
     0.00504   -1.04551
     0.00347   -0.96520
     0.00221   -0.84693
     0.00124   -0.67889
     0.00055   -0.45405
     0.00014   -0.17348
     0.00000    0.13239
     0.00012    0.43818
     0.00054    0.71552
     0.00130    0.90865
     0.00241    0.99294
     0.00385    0.98910
     0.00562    0.93306
     0.00773    0.85444
     0.01020    0.76960
     0.01309    0.68790
     0.01648    0.61186
     0.02048    0.54351
     0.02526    0.48234
     0.03103    0.42852
     0.03807    0.38185
     0.04660    0.34262
     0.05678    0.31100
     0.06850    0.28681
     0.08148    0.26921
     0.09535    0.25686
     0.10983    0.24834
     0.12471    0.24250
     0.13988    0.23843
     0.15524    0.23549
     0.17076    0.23318
     0.18639    0.23113
     0.20204    0.22904
     0.21765    0.22665
     0.23322    0.22372
     0.24873    0.21997
     0.26419    0.21502
     0.27962    0.20839
     0.29502    0.19799
     0.31041    0.18212
     0.32583    0.17263
     0.34129    0.16541
     0.35677    0.15989
     0.37228    0.15551
     0.38781    0.15198
     0.40337    0.14910
     0.41894    0.14674
     0.43453    0.14481
     0.45014    0.14322
     0.46576    0.14191
     0.48140    0.14084
     0.49705    0.13997
     0.51271    0.13926
     0.52839    0.13868
     0.54408    0.13822
     0.55977    0.13784
     0.57548    0.13754
     0.59119    0.13730
     0.60691    0.13711
     0.62264    0.13696
     0.63837    0.13684
     0.65411    0.13674
     0.66985    0.13666
     0.68560    0.13661
     0.70133    0.13658
     0.71707    0.13657
     0.73280    0.13659
     0.74854    0.13664
     0.76427    0.13674
     0.78000    0.13690
     0.79573    0.13713
     0.81146    0.13747
     0.82719    0.13794
     0.84292    0.13858
     0.85866    0.13945
     0.87439    0.14062
     0.89013    0.14217
     0.90585    0.14426
     0.92154    0.14708
     0.93714    0.15088
     0.95250    0.15598
     0.96724    0.16257
     0.98068    0.16991
     0.99205    0.17659
     1.00000    0.17882
