#      x          Cp  
     1.00000    0.17808
     0.99223    0.15261
     0.98119    0.11717
     0.96821    0.07903
     0.95402    0.04142
     0.93925    0.00615
     0.92423   -0.02635
     0.90911   -0.05630
     0.89394   -0.08408
     0.87875   -0.11007
     0.86355   -0.13458
     0.84833   -0.15786
     0.83310   -0.18014
     0.81787   -0.20157
     0.80262   -0.22230
     0.78736   -0.24245
     0.77210   -0.26212
     0.75683   -0.28138
     0.74156   -0.30033
     0.72628   -0.31901
     0.71099   -0.33750
     0.69570   -0.35584
     0.68040   -0.37408
     0.66511   -0.39227
     0.64981   -0.41045
     0.63451   -0.42865
     0.61920   -0.44693
     0.60390   -0.46531
     0.58860   -0.48383
     0.57330   -0.50253
     0.55800   -0.52146
     0.54271   -0.54064
     0.52742   -0.56012
     0.51213   -0.57994
     0.49685   -0.60017
     0.48158   -0.62084
     0.46631   -0.64203
     0.45106   -0.66381
     0.43581   -0.68627
     0.42058   -0.70951
     0.40536   -0.73367
     0.39015   -0.75893
     0.37497   -0.78552
     0.35980   -0.81378
     0.34467   -0.84419
     0.32957   -0.87777
     0.31456   -0.91478
     0.29971   -0.96746
     0.28517   -1.01753
     0.27078   -1.05192
     0.25648   -1.08000
     0.24224   -1.10542
     0.22807   -1.14924
     0.21396   -1.19121
     0.19992   -1.20539
     0.18596   -1.22277
     0.17209   -1.24003
     0.15834   -1.25631
     0.14471   -1.27156
     0.13124   -1.28589
     0.11796   -1.29959
     0.10490   -1.31305
     0.09215   -1.32682
     0.07980   -1.34157
     0.06801   -1.35814
     0.05698   -1.37739
     0.04697   -1.39995
     0.03820   -1.42591
     0.03077   -1.45461
     0.02462   -1.48481
     0.01959   -1.51492
     0.01547   -1.54309
     0.01208   -1.56702
     0.00928   -1.58361
     0.00696   -1.58823
     0.00504   -1.57415
     0.00347   -1.53149
     0.00221   -1.44656
     0.00124   -1.30236
     0.00055   -1.08256
     0.00014   -0.78110
     0.00000   -0.42104
     0.00012   -0.03342
     0.00054    0.36239
     0.00130    0.68810
     0.00241    0.89550
     0.00385    0.98664
     0.00562    0.99658
     0.00773    0.95972
     0.01020    0.90023
     0.01309    0.83141
     0.01648    0.76129
     0.02048    0.69279
     0.02526    0.62837
     0.03103    0.56841
     0.03807    0.51402
     0.04660    0.46590
     0.05678    0.42502
     0.06850    0.39180
     0.08148    0.36587
     0.09535    0.34610
     0.10983    0.33111
     0.12471    0.31964
     0.13988    0.31067
     0.15524    0.30344
     0.17076    0.29736
     0.18639    0.29199
     0.20204    0.28696
     0.21765    0.28198
     0.23322    0.27676
     0.24873    0.27098
     0.26419    0.26425
     0.27962    0.25607
     0.29502    0.24442
     0.31041    0.22758
     0.32583    0.21694
     0.34129    0.20853
     0.35677    0.20180
     0.37228    0.19620
     0.38781    0.19147
     0.40337    0.18741
     0.41894    0.18390
     0.43453    0.18083
     0.45014    0.17814
     0.46576    0.17575
     0.48140    0.17363
     0.49705    0.17174
     0.51271    0.17003
     0.52839    0.16848
     0.54408    0.16706
     0.55977    0.16575
     0.57548    0.16453
     0.59119    0.16340
     0.60691    0.16232
     0.62264    0.16130
     0.63837    0.16032
     0.65411    0.15937
     0.66985    0.15846
     0.68560    0.15757
     0.70133    0.15670
     0.71707    0.15586
     0.73280    0.15505
     0.74854    0.15427
     0.76427    0.15352
     0.78000    0.15283
     0.79573    0.15219
     0.81146    0.15164
     0.82719    0.15119
     0.84292    0.15088
     0.85866    0.15075
     0.87439    0.15085
     0.89013    0.15127
     0.90585    0.15212
     0.92154    0.15355
     0.93714    0.15581
     0.95250    0.15918
     0.96724    0.16406
     0.98068    0.17021
     0.99205    0.17752
     1.00000    0.17808
