#      x          Cp  
     1.00000    0.18930
     0.99223    0.16056
     0.98119    0.12192
     0.96821    0.08235
     0.95402    0.04494
     0.93925    0.01096
     0.92423   -0.01967
     0.90911   -0.04746
     0.89394   -0.07296
     0.87875   -0.09660
     0.86355   -0.11875
     0.84833   -0.13966
     0.83310   -0.15957
     0.81787   -0.17862
     0.80262   -0.19697
     0.78736   -0.21472
     0.77210   -0.23198
     0.75683   -0.24881
     0.74156   -0.26529
     0.72628   -0.28148
     0.71099   -0.29743
     0.69570   -0.31319
     0.68040   -0.32880
     0.66511   -0.34430
     0.64981   -0.35973
     0.63451   -0.37512
     0.61920   -0.39050
     0.60390   -0.40590
     0.58860   -0.42135
     0.57330   -0.43689
     0.55800   -0.45252
     0.54271   -0.46830
     0.52742   -0.48423
     0.51213   -0.50036
     0.49685   -0.51670
     0.48158   -0.53329
     0.46631   -0.55015
     0.45106   -0.56730
     0.43581   -0.58474
     0.42058   -0.60245
     0.40536   -0.62036
     0.39015   -0.63826
     0.37497   -0.65574
     0.35980   -0.67249
     0.34467   -0.69101
     0.32957   -0.74020
     0.31456   -0.80652
     0.29971   -0.83194
     0.28517   -0.86281
     0.27078   -0.88958
     0.25648   -0.91300
     0.24224   -0.93289
     0.22807   -0.94966
     0.21396   -0.96350
     0.19992   -0.97459
     0.18596   -0.98301
     0.17209   -0.98885
     0.15834   -0.99213
     0.14471   -0.99288
     0.13124   -0.99114
     0.11796   -0.98690
     0.10490   -0.98019
     0.09215   -0.97103
     0.07980   -0.95947
     0.06801   -0.94558
     0.05698   -0.92951
     0.04697   -0.91141
     0.03820   -0.89140
     0.03077   -0.86934
     0.02462   -0.84468
     0.01959   -0.81636
     0.01547   -0.78284
     0.01208   -0.74198
     0.00928   -0.69098
     0.00696   -0.62606
     0.00504   -0.54232
     0.00347   -0.43379
     0.00221   -0.29355
     0.00124   -0.11629
     0.00055    0.09869
     0.00014    0.33974
     0.00000    0.57792
     0.00012    0.78630
     0.00054    0.93909
     0.00130    0.99929
     0.00241    0.96971
     0.00385    0.88323
     0.00562    0.77546
     0.00773    0.66719
     0.01020    0.56935
     0.01309    0.48367
     0.01648    0.41097
     0.02048    0.34950
     0.02526    0.29819
     0.03103    0.25582
     0.03807    0.22171
     0.04660    0.19541
     0.05678    0.17650
     0.06850    0.16417
     0.08148    0.15716
     0.09535    0.15400
     0.10983    0.15339
     0.12471    0.15432
     0.13988    0.15608
     0.15524    0.15819
     0.17076    0.16028
     0.18639    0.16208
     0.20204    0.16337
     0.21765    0.16395
     0.23322    0.16364
     0.24873    0.16219
     0.26419    0.15925
     0.27962    0.15436
     0.29502    0.14538
     0.31041    0.13058
     0.32583    0.12236
     0.34129    0.11644
     0.35677    0.11224
     0.37228    0.10916
     0.38781    0.10692
     0.40337    0.10530
     0.41894    0.10418
     0.43453    0.10344
     0.45014    0.10302
     0.46576    0.10284
     0.48140    0.10287
     0.49705    0.10306
     0.51271    0.10338
     0.52839    0.10381
     0.54408    0.10431
     0.55977    0.10489
     0.57548    0.10551
     0.59119    0.10616
     0.60691    0.10684
     0.62264    0.10754
     0.63837    0.10824
     0.65411    0.10896
     0.66985    0.10967
     0.68560    0.11039
     0.70133    0.11112
     0.71707    0.11185
     0.73280    0.11259
     0.74854    0.11335
     0.76427    0.11415
     0.78000    0.11498
     0.79573    0.11588
     0.81146    0.11686
     0.82719    0.11795
     0.84292    0.11918
     0.85866    0.12058
     0.87439    0.12222
     0.89013    0.12416
     0.90585    0.12645
     0.92154    0.12916
     0.93714    0.13233
     0.95250    0.13575
     0.96724    0.13857
     0.98068    0.15033
     0.99205    0.17963
     1.00000    0.18930
