alpha CL CD CDp Cm
-12.0 -0.9811192025740256 0.014756323036102878 0.006188529984702543 -0.073013557856563
-11.75 -0.9522751973921189 0.01431069051786337 0.005827555075078771 -0.07380014425776145
-11.5 -0.9234311922102119 0.013865057999623861 0.005466580165454999 -0.07458673065895992
-11.25 -0.8945871870283051 0.013419425481384353 0.005105605255831227 -0.07537331706015837
-11.0 -0.8743609473159786 0.01317763133819758 0.004920206589616623 -0.07405535081127085
-10.75 -0.8486466102519385 0.012815347284292818 0.004632997513669913 -0.07404589160177752
-10.5 -0.8236860659003157 0.012477034551925883 0.0043659278782674435 -0.07383795306338627
-10.25 -0.7988508539898181 0.012157859061929885 0.0041164873663633895 -0.07357294188946233
-10.0 -0.7737022127278453 0.011854175154629118 0.0038811047943763406 -0.07334774319076076
-9.75 -0.7482517885794098 0.011567111206155667 0.003658168201940844 -0.07315997549539842
-9.5 -0.7224774408028112 0.011292084953822588 0.0034458829443239853 -0.07301638222322905
-9.25 -0.696236910388323 0.011038715832175444 0.0032503143564497827 -0.07293396936314812
-9.0 -0.6699047776725788 0.01077846077503965 0.0030515114079871014 -0.07286578059415078
-8.75 -0.6433800107564273 0.0105302937059444 0.0028634469942950746 -0.07282124255652375
-8.25 -0.5897404884299716 0.010058321234548355 0.002508914076131373 -0.07281292153867952
-8.0 -0.5625156737318544 0.00984535642862212 0.0023524181960301468 -0.07285902182898465
-7.75 -0.5352118480187626 0.009638773033446232 0.002199164904787422 -0.07291295913186352
-7.5 -0.5077966063189231 0.009437211409510812 0.0020496946586907065 -0.07298095050531939
-7.0 -0.4526916209674857 0.009044096744317536 0.0017617328626086653 -0.07314940390916148
-6.75 -0.4249540849691146 0.008857231554589371 0.001626064666056951 -0.07325345030576412
-6.5 -0.3971015710874602 0.008680189365523134 0.0015001761625646672 -0.07337196456113944
-6.25 -0.3691485355533121 0.008512897004432649 0.0013815458652175962 -0.07350077092583174
-6.0 -0.34112249863954874 0.008357167038234631 0.0012696243074609246 -0.07363442645267303
