alpha CL CD CDp Cm
-12.0 -0.3951718032673283 0.1448793020373563 0.1295211749336207 -0.028607962857363275
-11.5 -0.37816528720263975 0.1372220835159162 0.12271970417934337 -0.02922249834129937
-11.25 -0.36966202917029545 0.13339347425519613 0.1193189688022047 -0.02952976608326742
-11.0 -0.3611587711379512 0.1295648649944761 0.11591823342506606 -0.02983703382523547
-10.75 -0.37323012677982265 0.12714173327775902 0.11203002820260943 -0.032749349567129105
-10.5 -0.37147272082083416 0.12299789804971548 0.10788757289924542 -0.034057425279565234
-9.75 -0.37467719002874167 0.11126181244552871 0.09547469143535381 -0.038705923167838927
-9.5 -0.3766785925252672 0.10722911232120491 0.09141938508960386 -0.039903964384548754
-9.25 -0.3796202445406104 0.10334078396700389 0.08756145333350268 -0.04084666257105523
-9.0 -0.3840151897712737 0.09955758380916117 0.0838600048400995 -0.04151848184561849
-8.75 -0.38977545058711605 0.09580741192776601 0.08030020834728258 -0.04182510229322176
-8.5 -0.39751189767657197 0.09194032835779281 0.07668702595853473 -0.041975746189933084
-8.25 -0.40842027316944585 0.08852003442081005 0.07337155182712482 -0.04207444012507412
-8.0 -0.4190867866007225 0.08514942361895113 0.07020486483625596 -0.041853726760913194
-7.75 -0.4308881228196169 0.0816035887511278 0.06680231858385671 -0.04173002182121109
-7.5 -0.4429540160275067 0.07787004105610588 0.06315307066098555 -0.04170714271982
-7.25 -0.4539600557468206 0.07405413793301967 0.05937927423271337 -0.041719845288790504
-7.0 -0.4628992079688517 0.07020871245345002 0.05553874494701424 -0.04176817681604167
-6.75 -0.46902350452075203 0.066336556784962 0.051630138239167886 -0.041881838808824665
-6.5 -0.4692564425515956 0.062287802327728736 0.047485464716551955 -0.0426401319681129
-6.25 -0.4635330048688382 0.05816940113814383 0.043216769731903505 -0.04389618104135406
-6.0 -0.4519220435747163 0.05412303423562895 0.03897010226852786 -0.04554168717946101
-5.75 -0.4350156460437329 0.05028214839665117 0.03488737040322306 -0.047413589900734916
-5.5 -0.41334527436012714 0.04674459748093753 0.031041568972366332 -0.04944102933759477
-5.25 -0.3873518004499251 0.04352314187415225 0.02758545418245386 -0.05170385064540679
-5.0 -0.3587904350484882 0.04064477188255439 0.024515951916270734 -0.05392887049127934
-4.75 -0.3273414355432436 0.03808372682381816 0.021788540929658387 -0.056221924492451794
-4.5 -0.29461125776734715 0.035924914561806826 0.019491036785793895 -0.05828660092005406
-4.25 -0.2619029376385336 0.03414334681686514 0.017591195271760868 -0.05999140748116862
-4.0 -0.22859455692293507 0.03266786165949016 0.016100031065419317 -0.06161775946096015
-3.75 -0.19531736469610694 0.03143415304153868 0.014879087475410979 -0.06305516633947278
-3.5 -0.1621705342569909 0.030373043088431004 0.01391036240973495 -0.06437595275499808
-3.25 -0.12825685885677313 0.029432654664123408 0.013072655947066646 -0.06576132476473005
-3.0 -0.09519438347937104 0.0285979768822633 0.012381552732773585 -0.06698535593001803
-2.75 -0.06200642466555206 0.027834552554927245 0.011851361287796864 -0.06826961413630561
-2.5 -0.029471840374115765 0.027114661825536 0.011455055953658207 -0.06946055158902789
-2.25 0.002050836348519658 0.026403854141020016 0.011181926371212372 -0.0704243984033523
-2.0 0.03359415920056075 0.025664837326277463 0.011007115765062131 -0.0709572795177145
