alpha CL CD CDp Cm
-12.0 -0.8980671039688326 0.019234202727361864 0.010337526644340136 -0.08845343105120158
-11.75 -0.8713863527117074 0.018771402336979277 0.009940181153114132 -0.08865335337929722
-11.5 -0.8447056014545822 0.01830860194659669 0.009542835661888127 -0.08885327570739286
-11.25 -0.8180248501974572 0.017845801556214104 0.009145490170662126 -0.08905319803548849
-11.0 -0.7929755418123088 0.017256195901719333 0.00868704362066938 -0.08889938413188304
-10.75 -0.7669624620218828 0.01681978375088592 0.008340427195852618 -0.08887334288984745
-10.5 -0.7409661998744618 0.01641356257839885 0.00801926683969112 -0.088796268465516
-10.25 -0.7150458672080652 0.01602036489505619 0.007706382452236542 -0.08867126908110236
-10.0 -0.6893100656854609 0.015637253352587623 0.007398559744360857 -0.0884784209629044
-9.75 -0.6635690563231329 0.015287751484310807 0.007112410799114105 -0.08823857858484215
-9.5 -0.6376423466418968 0.014956847610325608 0.006832840842510998 -0.08800509745476087
-9.25 -0.6117225776589887 0.014631449666437844 0.0065458358908144585 -0.08774720237533616
-9.0 -0.5857452818097071 0.014312260238170199 0.006255572484130481 -0.08748477139408986
-8.75 -0.5597040922283029 0.013995759515719722 0.0059573225373558344 -0.08721910676015532
-8.5 -0.5335860707807479 0.013678977722116339 0.005653911172896619 -0.0869585140517548
-8.25 -0.5076536761599085 0.013315742495901685 0.005315838816321963 -0.0866722840683655
-8.0 -0.4816995589581409 0.012937543044470133 0.004971048964516346 -0.08638963685955424
-7.75 -0.45569170433779443 0.012560672458410112 0.004630064879854535 -0.08610868271080852
-7.5 -0.4295590464084108 0.012193292209866764 0.004300666244939677 -0.0858410837680934
-7.25 -0.4032993526561961 0.011840572582626038 0.003986631768619286 -0.08558648684518572
-7.0 -0.3769258976419794 0.011499547884998563 0.0036847392313418322 -0.08534317976481144
-6.75 -0.3504315454935861 0.011172304444215858 0.0033967057357493363 -0.0851129051583514
-6.5 -0.32381320360981025 0.010862608443913815 0.0031244469848900015 -0.0848943817204122
-6.25 -0.29694222845405616 0.01059331618095755 0.00288400212433459 -0.08470292912955463
-6.0 -0.2699432530851787 0.010351257090186214 0.0026626122185407775 -0.0845198271012869
-5.75 -0.24286444549300235 0.010129069560114456 0.002455134079402415 -0.08434043722050132
-5.5 -0.21571527444620436 0.0099234533514462 0.0022597922532050533 -0.08416504566706767
-5.25 -0.18852205081210527 0.009735900582951668 0.002077009481431049 -0.08398988640762785
-5.0 -0.1612439339375002 0.009565308155851472 0.0019083939683527302 -0.0838249331604137
-4.75 -0.13389948898382487 0.009410979465374005 0.0017528843345040977 -0.08366779908355303
-4.5 -0.10655604197055002 0.009256573609502279 0.0016001807197974227 -0.08350758796218238
-4.25 -0.079194173536276 0.009106831267159162 0.0014536875750210392 -0.08334779757023632
-4.0 -0.05180972547075041 0.008966490904850183 0.0013163728523981543 -0.08318967674102737
-3.75 -0.024341796693929163 0.008833257951491053 0.0011893889573773941 -0.08304728176057577
-3.5 0.003132698915927712 0.008712519290335508 0.00107240522325925 -0.08290434218603554
-3.25 0.030636366221494016 0.008602573401353095 0.0009647303914718982 -0.082765898223404
-3.0 0.058139108378056414 0.00850452641561378 0.0008654824714139208 -0.0826258461913443
-2.75 0.0856879397504971 0.008420323423745173 0.0007798356780909115 -0.0824952010991543
-2.5 0.11324275122920247 0.008337305971021119 0.0007020737592454903 -0.08237092537377468
-2.25 0.14076854563976723 0.008258889526240258 0.0006339850659771076 -0.08224703188153529
-1.75 0.19587346418126814 0.008123859367817659 0.0005177296766340635 -0.08201345832235861
-1.5 0.22326805554399418 0.008064173033538161 0.00047728790134825717 -0.08188651497941067
-1.25 0.25063687347477176 0.008000521359315015 0.00044044292437932795 -0.0817616116840997
-1.0 0.27798566662342084 0.007934618626435276 0.0004089693301501033 -0.08164007744548447
-0.5 0.33252672991160587 0.007800422837179762 0.0003633086503328592 -0.08139163020231058
-0.25 0.3596656406588362 0.007741258231877813 0.00035512488708658194 -0.08125886626745685
0.0 0.3868045201993506 0.007692616245405004 0.00035285493165863543 -0.08112786150105958
0.25 0.4138616195832482 0.007646972131574243 0.00035657041991526316 -0.08099000894191215
0.5 0.4406699284036376 0.007586537298667778 0.00036779326601477287 -0.08082636074735479
0.75 0.4670647413834284 0.007496079778211902 0.00039077184334486393 -0.08060930354038194
1.0 0.49275130597838224 0.0073694966141091495 0.0004262578411827702 -0.0802485395900763
1.25 0.517747295762355 0.007245018917563021 0.0004735411768615495 -0.07970732752441066
1.5 0.5423367831033082 0.007144814809552373 0.0005321722246573574 -0.07902715759637272
1.75 0.5684871506015724 0.007085811721538825 0.0005990531696780836 -0.07867570200522059
2.0 0.5957582002648407 0.007068181267796377 0.0006704065775133073 -0.0785785196241662
2.25 0.6255779454644834 0.007116185754289297 0.0007418453414440377 -0.0790645481457147
2.5 0.6542558695148839 0.007178355629993345 0.0008146808695320736 -0.07929628679908189
2.75 0.6824077522458392 0.007274792100490714 0.0008885394908161214 -0.07939628582281369
3.25 0.7410781204945626 0.0075917702416899505 0.0010258636370385084 -0.08012106394481877
3.5 0.7690393186242739 0.007764180288709518 0.0010877904094185988 -0.08020238815045769
3.75 0.7968872776843208 0.007935759931991835 0.001144420197949639 -0.08027241703073962
4.0 0.8238598028900774 0.008110494820364742 0.0011997893973888195 -0.08016310923619842
4.25 0.8502762066456238 0.008276273890781935 0.0012526447865470335 -0.07992797788490445
4.5 0.8754494158427026 0.008436176888893407 0.0013027944586573878 -0.07941607822950109
4.75 0.9007312501658997 0.008597556306030624 0.0013538243993959174 -0.07893406337627971
5.0 0.9261931514060882 0.00875585325737762 0.0014045019302313532 -0.07849448107188245
5.25 0.9515579309264451 0.008929432037538512 0.001459600018838683 -0.07805265120447695
5.5 0.9767456686713603 0.009122377536122198 0.001520481017392166 -0.077595819637118
5.75 1.0014827209208688 0.009353598532921954 0.0015952653726960069 -0.0770807827727869
6.0 1.025614192227757 0.009633816644303442 0.0016927029358160637 -0.0764833029579987
6.25 1.0491127349738243 0.009963597475856381 0.0018153651860756668 -0.07579807841331854
6.5 1.072015604300467 0.010338803479593628 0.001962563851032691 -0.0750307306127359
6.75 1.0943311629621737 0.010757276821458672 0.002134474503508318 -0.074183202924678
7.0 1.116349144727119 0.011194631529288459 0.0023189660773287515 -0.07329843768562669
7.25 1.1382226680532361 0.011637411388465444 0.002510648567766934 -0.07239902345652266
7.5 1.1600282973142622 0.0120779100922371 0.002705505332136094 -0.07149666839558742
7.75 1.1817143942200152 0.012518081514877 0.0029043530760740465 -0.07058373660063341
8.0 1.203220061234577 0.012959769815212152 0.0031064212006298286 -0.06965180141619111
8.25 1.224516149509871 0.013402402614384464 0.003309897118347071 -0.06869627855983991
8.5 1.244691893163064 0.013906294502182786 0.00354968694039077 -0.06758129034291657
8.75 1.263446093585553 0.014466366836605783 0.0038286425300982927 -0.06623869011976652
9.0 1.2816429440125083 0.015030865473014441 0.004112076322872375 -0.06480858538507953
9.25 1.299210304346344 0.015607511138396719 0.004403622169888587 -0.06328745262753288
9.5 1.3163893133444726 0.016185076951179732 0.004697213595384683 -0.06172154515141609
9.75 1.3331325054756857 0.016768769635295375 0.004996616972264342 -0.06011205667223703
10.0 1.3494096702050358 0.01736404401133842 0.005305448208472706 -0.0584634579416564
10.25 1.3651200900920537 0.017982372407572264 0.005629973514719627 -0.056771084474247974
10.5 1.3807345685984829 0.018596362170825994 0.005954530633772527 -0.055114170897419254
10.75 1.396508752526478 0.019204018320657663 0.00627582870918542 -0.053547539139158176
11.0 1.4118993714308232 0.019843835898453645 0.006618558223644608 -0.051995967475262944
11.25 1.4268399578335533 0.020521609501188393 0.006987110059387869 -0.050457347001692604
11.5 1.4411903930114986 0.021250260142478754 0.007389586696562521 -0.048917998277811556
11.75 1.4549508889957399 0.02203445247826776 0.007829804467661553 -0.047388557320963004
12.0 1.468005206226839 0.022884957983982084 0.008315684153562665 -0.04586611358897753
12.25 1.4801644648355854 0.023823094916751792 0.008862940622078937 -0.044345724535108905
12.5 1.4917668922278802 0.02482744113118097 0.009459284846514242 -0.042866622538203406
12.75 1.5027953040951623 0.025899592349984787 0.010106085393929477 -0.041429126040476535
13.0 1.5131965976086659 0.027048844075362753 0.010810560818749277 -0.04003804823247813
13.25 1.5229433812041002 0.028284526533238208 0.011580394563997093 -0.03870269028072246
13.5 1.5319944294570351 0.02961450706892195 0.012422591001502878 -0.03742917215415158
13.75 1.5402894477386233 0.031045452522714283 0.013343370659253749 -0.036220238415722056
14.0 1.5478555033163 0.0325831273714965 0.01434858486139453 -0.03509055074056926
14.25 1.5547315916855355 0.034230821872165404 0.015442761931343849 -0.03405496380948077
14.5 1.562658145546241 0.03572828439605523 0.01641583804486795 -0.03293063979497077
14.75 1.567631362179321 0.03763566840905749 0.017714159267416353 -0.032039550018300306
15.0 1.5726045788124008 0.03954305242205976 0.019012480489964755 -0.031148460241629844
