alpha CL CD CDp Cm
-12.0 -0.38387011302012397 0.13651819030742937 0.12466649703491338 -0.029063640940093602
-11.75 -0.38216695046925775 0.1324483255194981 0.1204257195541044 -0.0305269992876024
-11.5 -0.3804637879183916 0.12837846073156683 0.1161849420732954 -0.0319903576351112
-10.5 -0.3736511377149268 0.11209900157984173 0.09922183215005946 -0.037843791025146394
-10.25 -0.37473967961750576 0.10801745576743299 0.09572704293957335 -0.038707354170632466
-10.0 -0.37553298808149577 0.10410162844209711 0.09179399246592852 -0.03998916344606425
-9.75 -0.3779054135532951 0.10012236192779025 0.08782912826683495 -0.041206635014449405
-9.5 -0.3819029051414093 0.09606727078298485 0.08393227662702654 -0.04215229109571722
-9.25 -0.3906332745369313 0.09214602265223168 0.08006421344136892 -0.04296171232863065
-9.0 -0.4053518909715319 0.08801838647717847 0.07597568887571667 -0.04363512771474413
-8.75 -0.42739411414239126 0.08180485485095132 0.06951922094247569 -0.04599142822020846
-8.5 -0.4453971438508737 0.07545657659618452 0.06304340115913365 -0.04883587422465471
-8.25 -0.45730024399494407 0.06965344645373792 0.05722562676870635 -0.05174970712305224
-8.0 -0.46399078260027765 0.06410442470108096 0.051671714105556155 -0.05483881790016752
-7.75 -0.4659475880718752 0.0585386899469075 0.04605520203493588 -0.05812590367386933
-7.5 -0.46220787008891434 0.053058581161870844 0.040470712631977906 -0.06156436926958468
-7.25 -0.4530997762381368 0.047883642784633695 0.035154933619554796 -0.06483792333978952
-7.0 -0.43658893062979776 0.04316355185048503 0.030272535236476064 -0.06805152840207045
-6.75 -0.412520641022733 0.03977237264007784 0.02680683444456501 -0.07039509254900018
-6.5 -0.38733695566617315 0.036834864626893095 0.023704060317932443 -0.07219852513520189
-6.25 -0.36083326676578403 0.03403222269590158 0.020668890086854727 -0.0738871733435787
-6.0 -0.3324227617852283 0.031485029564016914 0.017938317328334744 -0.07549813187976231
-5.75 -0.3037833277898391 0.029388560901127726 0.0157307784744131 -0.07667717391017546
-5.5 -0.2742233390715091 0.02766875118611299 0.0139611887052465 -0.07769198075725206
-5.25 -0.24309758287800215 0.026203977318796055 0.012490595690003103 -0.07880015569412835
-5.0 -0.2127040980740989 0.0249851160131491 0.011293711284966725 -0.07961204211413457
-4.75 -0.182172030496223 0.02392326010550787 0.010275386926379637 -0.08032716251278975
-4.5 -0.15077794704780756 0.022939413253723957 0.009402532296542363 -0.08115225139348178
-4.25 -0.12071281094585246 0.022089581582778843 0.008692252057448155 -0.08168292683306687
-4.0 -0.09089960005943643 0.02134680063672628 0.008074990085415047 -0.08210210125298767
-3.75 -0.06052004734913713 0.02064853509515901 0.007508245294528628 -0.08259833073455247
-3.5 -0.031220014510735417 0.020015257281194115 0.007012552315591438 -0.08287529984021914
-3.25 -0.0020655996752506067 0.019413324271088342 0.006564312490191409 -0.08310027954002798
-3.0 0.02683499014085361 0.018844514145210108 0.006177829940260413 -0.08328291632324582
-2.75 0.05535186120726665 0.01830951480709715 0.005864491075932952 -0.08340404956401398
-2.5 0.08378294267972985 0.017796850813729642 0.005607481408194055 -0.0835029162267033
-2.25 0.11163805735730503 0.017294755723473353 0.005401663252067799 -0.08349431712387645
-2.0 0.13930662715860173 0.016761206970765535 0.005227162080487124 -0.0833736672096707
-1.75 0.16541262761009282 0.016236626687259125 0.005113121260951778 -0.08279712025334862
-1.5 0.1948944384321475 0.015715659351190403 0.0050150268258182095 -0.08259994740341847
-1.25 0.2310167630631201 0.015243472869692975 0.0049037067508744606 -0.0837028768542439
-1.0 0.2660000957551234 0.014845374388765337 0.0047879399990334755 -0.08459312360835375
-0.75 0.3002538513307555 0.01451203835533828 0.004657256305309598 -0.08533729813400963
-0.5 0.33292169391448895 0.014268925898791082 0.004540940747312242 -0.08581171918418769
-0.25 0.36511059203793955 0.014089626659309592 0.0044164669246487785 -0.08620137358902567
0.0 0.3962643735337329 0.013993802564206154 0.004302994284925781 -0.08644768583684904
0.25 0.4269772150324912 0.01396136956086228 0.004188608000072185 -0.0866995519277351
0.5 0.4557154722497787 0.013972788376464417 0.004072287608318707 -0.08668082096909728
0.75 0.4804741645528826 0.014020864942479224 0.003989704335922028 -0.0859045207149379
1.0 0.5053120842288987 0.014080939514003465 0.003920180801499991 -0.08514265257761838
1.25 0.5301760343058498 0.014151348903152795 0.0038582635809773216 -0.08438096188352537
1.5 0.555137604705517 0.014229865586450419 0.003803791588439468 -0.08363496988561489
1.75 0.5799651767737728 0.014321661034658569 0.0037627971160739196 -0.0828721991691927
2.0 0.604796811191946 0.014422483570177504 0.0037266993515027067 -0.08210963004068628
2.25 0.6296525441736535 0.014530738017188216 0.0036910942008336663 -0.08134708254157637
2.5 0.6543447189586045 0.01465200075922142 0.0036626291963327492 -0.08056038576261826
2.75 0.6790818442665314 0.014782568726780116 0.003634692553458251 -0.07978134502658224
3.0 0.7036917029700132 0.01492730706471787 0.0036150032276803237 -0.07898842723121946
3.25 0.7280855918507214 0.015089226410310684 0.0036051607892283945 -0.07816859951174455
3.5 0.7523536363272175 0.015267390172656083 0.003599745065442462 -0.07733307795592882
3.75 0.7764728219489403 0.015464358201495578 0.003601400758689119 -0.07648168024309175
4.0 0.8004102085076448 0.015683352763905964 0.0036157185532298152 -0.07561554208936123
4.25 0.8241419590832629 0.015926243890544364 0.0036449577448152506 -0.07473393368562876
4.5 0.8476633017278199 0.016193709079610527 0.0036906893384562856 -0.07383844848184073
4.75 0.8709955760592685 0.016485289553674475 0.003753101188280067 -0.07293358167213307
5.0 0.8941630101227231 0.01680017325159528 0.0038308890506201345 -0.07202325307564172
5.25 0.9171516115356659 0.01713809893675478 0.003923830218202179 -0.07110650521013968
5.5 0.9399098104977324 0.017498628757752217 0.00402926237717407 -0.07017443997540472
5.75 0.9623354927597106 0.017881295438554053 0.004143445318327695 -0.06920956638839165
6.0 0.9843512533818781 0.01828632180461294 0.004263895996574056 -0.0681994617144234
6.25 1.0059978764317934 0.018710690141659245 0.004395515145592169 -0.06715359538722965
6.5 1.0274187601442892 0.019150211851796505 0.004543892462080685 -0.066095880594096
6.75 1.0486418513723121 0.019607372816314486 0.004704730863455969 -0.06502845944964472
7.0 1.0696244588912318 0.02007979444657567 0.004878957346429331 -0.06394420887651286
7.25 1.090384856582085 0.020564403222881496 0.005070800227119865 -0.06284640141700124
7.5 1.1107816485469204 0.021067887534629685 0.005271175254775935 -0.061712618834526424
7.75 1.1308465000100534 0.02157970757477296 0.005491302844137614 -0.060548757480122804
8.0 1.1505603137371714 0.02210295476707825 0.00572809589577493 -0.05935142206310239
8.25 1.1697235721045904 0.022643677998618144 0.005972752002437343 -0.05808922087148054
8.5 1.1882154714576494 0.023198292451223207 0.006229795149884727 -0.05674465452167472
8.75 1.205783063363841 0.023770307187031457 0.006498682439659736 -0.05528264747795139
9.0 1.221991071616854 0.02436965056828445 0.00677616856429113 -0.05364186769587897
9.25 1.236623799362856 0.025018416719537844 0.007068948442526519 -0.05181914036856722
9.5 1.2496027070359221 0.025738551025051105 0.007396089093413604 -0.04983964582866969
9.75 1.2610076506081074 0.02655259831808264 0.007772540504892872 -0.04774421301435659
10.0 1.2709133411514537 0.02747292235470404 0.008216167570060637 -0.04556931709794099
10.25 1.2797205259611504 0.028492356015217754 0.008736885395950408 -0.04337963520065201
10.5 1.287499944971943 0.02961876686207917 0.00933884875889715 -0.04120199333477993
10.75 1.2942269210434456 0.03086599361104196 0.010035220652398459 -0.03906449856407741
11.0 1.3005535658959957 0.03220862435960789 0.010820679421671555 -0.03704588968744743
11.25 1.3059699849576454 0.033686382779969326 0.011722205344430792 -0.03513713363181646
11.5 1.3112397141553833 0.035247048974419326 0.012713167553929136 -0.033384940046360195
11.75 1.315651804894311 0.036943450007590375 0.013826504204841113 -0.0317645307408798
12.0 1.319663747774069 0.03874310626567582 0.015042631453175047 -0.030300020711638134
12.25 1.3222323995031962 0.04074370997645593 0.01643132889424903 -0.028981416153148545
12.5 1.3243218725478418 0.04286523008465115 0.017937315661967317 -0.02782567134762369
