alpha CL CD CDp Cm
-12.0 -0.9993714208528994 0.02010555279697149 0.009843915866857171 -0.06400964740472992
-11.75 -0.9706987232489857 0.019268965056485118 0.009165665155784278 -0.06530750064571136
-11.5 -0.9420260256450719 0.018432377315998744 0.008487414444711374 -0.06660535388669278
-11.25 -0.9133533280411583 0.017595789575512364 0.007809163733638474 -0.06790320712767421
-11.0 -0.8787167433392107 0.017077544045009482 0.007437250385277202 -0.0699196511184979
-10.75 -0.847963438288018 0.016448404855189343 0.0069390231560015146 -0.07132688316907432
-10.5 -0.817846338523982 0.015874870435974152 0.00648322932875834 -0.07250865330172081
-10.25 -0.7884812823895223 0.015350409044050786 0.006064201659780338 -0.07345355912754686
-10.0 -0.760170210511272 0.014861217444364506 0.005674395957136516 -0.07411110099757243
-9.75 -0.7327586322227032 0.014399900502476009 0.0053082779042009105 -0.07452934928873219
-9.5 -0.70624668755282 0.01397175563152321 0.004969695829114393 -0.07470852405468914
-9.25 -0.6804464165438203 0.013572664691220794 0.0046541294260250676 -0.07469444175570324
-9.0 -0.6551748697806896 0.013199284316867347 0.00435783708883672 -0.07453074902023074
-8.75 -0.6300017756210399 0.012848064723338213 0.004079988724823595 -0.0743142597314304
-8.5 -0.6046515232653136 0.012519002443053807 0.003819747482169229 -0.07410578262894647
-8.25 -0.5790166926533196 0.012210432845161413 0.0035754317981020398 -0.07392962106591242
-8.0 -0.5531822818056364 0.011899816872380366 0.003332218220328566 -0.07378080223537824
-7.75 -0.5270635078103408 0.011599788953061303 0.00310050129112487 -0.07367167285525503
-7.5 -0.5005533179713259 0.011322451598779095 0.0028894665703804384 -0.07361445451726484
-7.25 -0.47389769831749345 0.011057594777247095 0.002686069447120174 -0.0735733338381719
-7.0 -0.44705322151506593 0.010802658238533748 0.002490436731200828 -0.07355781398593819
-6.5 -0.39302735919468196 0.010293538019008364 0.002106925372617156 -0.07357532246171836
-6.25 -0.3657906306240877 0.01005268848318385 0.0019275725499646088 -0.07360904561273053
-6.0 -0.33839507892680754 0.009819180214529639 0.0017588691778608434 -0.07366633740859715
-5.75 -0.31082860707646137 0.009610652542717944 0.001608061310553823 -0.07373936647416587
-5.5 -0.2831358613976252 0.009418824057808896 0.0014674922940340121 -0.07382296081494338
-5.25 -0.2553099902639203 0.009231911931958556 0.001333194528977133 -0.07392323026052618
-5.0 -0.22741145871795077 0.00905455178763746 0.0012070124844205485 -0.07403113257893139
-4.75 -0.199397620360104 0.00888655564231201 0.001090067566827064 -0.0741536500235963
-4.5 -0.1713164626397466 0.008727855509428555 0.0009829857117488695 -0.07428549679766648
-4.25 -0.1431663533375923 0.00857437234071407 0.0008833759021423661 -0.0744299415104709
-4.0 -0.11496729128073446 0.008420087518015108 0.0007884208379022086 -0.07458678403723148
-3.75 -0.0867628711559324 0.00825674428134282 0.0006961004907619599 -0.07475746981804642
-3.5 -0.05851467190154741 0.008073808237065173 0.0006059156932539875 -0.0749579264400469
-3.25 -0.030270890825961794 0.007861956560723976 0.0005157029659290262 -0.07519257633374468
-3.0 -0.0020278014334370598 0.0076101345169265755 0.0004237760223532636 -0.07547113995731125
-2.75 0.02623806431259118 0.007339697947560692 0.00033747744708548244 -0.07577671837699004
-2.5 0.05453085223336296 0.007076596311735791 0.0002624114748060721 -0.07608704604844901
-2.25 0.08288018353691723 0.00681411610199812 0.00020223362309779012 -0.07640894803748463
-2.0 0.11127765493407793 0.006579694202867594 0.00015567581578166057 -0.07671770154221282
-1.75 0.13973755313829728 0.00637681391976381 0.00012331146008503073 -0.07701174376249692
-1.5 0.1682550553411497 0.0062108457115099686 0.00010355771250931824 -0.07728466690481967
-1.25 0.19680741361564705 0.006093130570878952 9.512569341139904e-05 -0.07752498847359225
-1.0 0.22543865757875034 0.006017737730779522 9.723745090180125e-05 -0.07774128319599383
-0.75 0.25408371415113923 0.005978139898263907 0.00010449384673819467 -0.07793242663647605
-0.5 0.28274312186447415 0.005958298445668243 0.0001146432966175048 -0.07811162747982238
-0.25 0.31140384898929846 0.0059612766653321814 0.0001249846170644325 -0.07827596119480826
0.0 0.3400326888091598 0.005974959753577436 0.00013624984708148074 -0.07843140661295615
0.25 0.36865338372369566 0.005995761870301648 0.00014813381475388057 -0.078583343231765
0.5 0.3972190507749789 0.006025342462398699 0.00016135192282618115 -0.07872538237227104
0.75 0.42576862931596027 0.006057133555365584 0.00017713611009308208 -0.07886582956598918
1.0 0.45423732253055127 0.006097866998190382 0.00019540230842199943 -0.07899264508326143
1.25 0.4825958114736245 0.0061489618352990666 0.00021684404221134878 -0.07910185936241856
1.5 0.5108797661772647 0.006208269573569292 0.00024117644144134985 -0.07919893254107643
1.75 0.5390557528739097 0.006278530050445952 0.00026879512449906736 -0.0792790443030728
2.0 0.5670343328642499 0.00636802854958451 0.00030050360334510346 -0.07932872811252693
2.25 0.5947989251435595 0.006478568766125319 0.00033664399055697615 -0.07934652697162811
2.5 0.6222064613053162 0.006625873602619325 0.0003814211295170731 -0.07931389420473123
2.75 0.6490552351501293 0.0068306029934471334 0.0004445190704508923 -0.07920483846211486
3.0 0.6753695374402056 0.00709416918120622 0.0005300386410250805 -0.07902661328718084
3.25 0.7009659447672744 0.007433932721867823 0.0006497814399093219 -0.07875709429478994
3.5 0.7259525531793158 0.007838225674537014 0.0008002113941725599 -0.0784103147412366
3.75 0.7504900222346482 0.008288349398907421 0.0009750462605547718 -0.07800717934212835
4.0 0.7746626814786064 0.008771685119410374 0.0011725032560115454 -0.07755744119081075
4.25 0.7986778285629332 0.009266442131940226 0.0013826622213158686 -0.07708749718984083
4.5 0.8226643487912617 0.009754179025212424 0.0016007723220555245 -0.07661238547514009
4.75 0.8467901907313875 0.010217801625096308 0.0018179359371942685 -0.0761538587970167
5.0 0.8711028884071789 0.010648185558455528 0.002029259333416237 -0.07571634005713
5.25 0.8956957400029473 0.011035841128642773 0.0022286038531995414 -0.07531100584548188
5.5 0.9204786029054075 0.011388917230714033 0.002418323043046561 -0.07492616316168237
5.75 0.9453192968218573 0.011720185473194221 0.002603709025893056 -0.07454221254917245
6.0 0.9702637299765814 0.012025546486525051 0.002781189052234476 -0.0741685523326097
6.25 0.9950779333847133 0.01232695662625242 0.002960297701326375 -0.07377329566431896
6.5 1.0197226530130397 0.01262678404204252 0.0031419949694996415 -0.07334869727048364
6.75 1.0441690089303077 0.012928267627759147 0.0033270821169570494 -0.07289267016235097
7.0 1.0682612517251693 0.01324080288796117 0.0035202677093037257 -0.07237998409092865
7.25 1.091898000097966 0.013571027807388818 0.0037251066723829112 -0.07179197702163002
7.5 1.115165578891144 0.013906957096908265 0.0039362737633772725 -0.07114161851264189
7.75 1.1379741973511246 0.014248464421189226 0.004153513272256989 -0.07041226781495054
8.0 1.1600692044395347 0.01459743468583483 0.004377805093326147 -0.06955262772769294
8.25 1.1814876714843088 0.014939980019138103 0.004601550766803119 -0.06856646711011846
8.5 1.202618478914547 0.015307141433241005 0.004836891611455181 -0.06756117149582201
8.75 1.223364362221933 0.01570145086207025 0.005085659284104866 -0.06652096364044417
