alpha CL CD CDp Cm
-12.0 -0.8922978718404876 0.031702045053056314 0.019018255969948716 -0.07060131087298047
-11.75 -0.8888358835330744 0.030204079466750085 0.017770411371979246 -0.06886223501382742
-11.5 -0.8853738952256612 0.028706113880443855 0.016522566774009775 -0.06712315915467437
-11.25 -0.8819119069182482 0.027208148294137625 0.015274722176040312 -0.06538408329552133
-11.0 -0.8569507861148276 0.026019887069509376 0.014180029952423033 -0.06581976572078446
-10.75 -0.8397325749715409 0.02473563053248322 0.01309974316850556 -0.06576416717627799
-10.5 -0.8186307099473052 0.023551259378377078 0.012100368721268961 -0.06615871372174331
-10.25 -0.794544403439616 0.02244538538034564 0.011167588217373698 -0.06691783077329987
-10.0 -0.7678530969196418 0.021401083662020932 0.010286363512940114 -0.0680136822778824
-9.75 -0.7391285369330833 0.020419269963066373 0.009457033847825477 -0.06935745760041817
-9.5 -0.7088787515887955 0.019521615840231814 0.008695281833839517 -0.07085513263450811
-9.25 -0.6789307982171198 0.018677103668475425 0.008003132056492078 -0.07217952162103461
-9.0 -0.6493525821469501 0.017912514961262734 0.007380535501549976 -0.07331145062978003
-8.75 -0.6204795453770188 0.017204217486103526 0.006804735260554525 -0.07420469525274215
-8.5 -0.5924319605551649 0.016545913482873265 0.006270427573623229 -0.07484596505167229
-8.25 -0.5651522677244394 0.01593836267517493 0.005777065394275967 -0.0752530818948733
-8.0 -0.538577180656905 0.015388135854189374 0.005329723430416268 -0.0754443662431219
-7.75 -0.5125402690119831 0.014879207851172317 0.004919790399513698 -0.07547606996073397
-7.5 -0.48712653041946596 0.014371935200593069 0.0045286058559202294 -0.07536686840482791
-7.25 -0.4616774919558278 0.0139199279340735 0.00417777901760616 -0.07520962734542744
-7.0 -0.43623391968532904 0.013490191179822501 0.0038413193306459457 -0.07501968941669629
-6.75 -0.4106198925947134 0.01308165002522357 0.0035218651636490326 -0.07484027662770566
-6.5 -0.3847446232491096 0.012703506091237701 0.0032249745799658083 -0.07468706262185972
-6.25 -0.3586513201394313 0.01233484923761449 0.002941019015511655 -0.07456724848947534
-6.0 -0.332334306170874 0.01197766343435357 0.0026742735366724717 -0.07448220840363959
-5.75 -0.3057854383988885 0.011646687949816202 0.0024280183231224868 -0.07442106801503165
-5.5 -0.2789218161815123 0.011351792304110372 0.002205475133986374 -0.0743927063850268
-5.25 -0.25189042230773934 0.011071732524991513 0.0019938475098752154 -0.07438132892590107
-5.0 -0.22466430694946915 0.010806285724621344 0.0017995191517422952 -0.07440066707418944
-4.75 -0.19729954951696493 0.010554187789410028 0.0016199060281990973 -0.07443873747077422
-4.5 -0.16982892136040212 0.010309363652807088 0.0014524428220928944 -0.07449598489749255
-4.25 -0.14224170323182117 0.010065262483944199 0.0012999249692421722 -0.07458565986359644
-4.0 -0.11462127728908111 0.009804861676861138 0.0011540973248458355 -0.07470918676141579
-3.75 -0.08697749566468316 0.009500245052211318 0.0010102465464651572 -0.07489274038964325
-3.5 -0.05936820271183485 0.009144215687709309 0.0008700631256346114 -0.07513200010861065
-3.25 -0.03169634387371517 0.008787319822254776 0.0007501913680719281 -0.07539398797490761
-3.0 -0.003923818234756071 0.008451606223637716 0.0006513672158101929 -0.07565822634871032
-2.75 0.02389064508120492 0.008139966643287432 0.0005771183264046409 -0.07590967157763062
-2.5 0.05181339913093058 0.007861315333719594 0.0005260903809420992 -0.07615021247278665
-2.25 0.07982166787922984 0.007628966212473746 0.0004929785914507328 -0.0763637435505599
-2.0 0.1079342925735054 0.00744677389918302 0.0004765448666028688 -0.07654931922188385
-1.75 0.13615387319889705 0.007319231724679313 0.000475029001124212 -0.07670144744321376
-1.5 0.16449099415412033 0.007259145407256297 0.00048267218496357697 -0.07681740782812535
-1.25 0.19285833422822707 0.007222443412857807 0.0004938876199600834 -0.07691962845210656
-1.0 0.22122384268083972 0.00720089891900011 0.0005079970174926789 -0.07701058334856643
-0.5 0.2780618005376248 0.007199485308560904 0.0005301108240818606 -0.0771883725750413
-0.25 0.3064411851024057 0.007215152466013089 0.0005417600047406868 -0.0772674032551468
0.0 0.33484764090909447 0.007234510333473379 0.0005551958642725658 -0.07735335289307597
0.25 0.363206985241294 0.007261778382666278 0.0005696242636802412 -0.0774304865859169
0.5 0.3915660152237815 0.007294458869141853 0.0005859853976412705 -0.07750957481008655
0.75 0.4198630170573824 0.007334342189246944 0.0006051683490150041 -0.07757761087724169
1.0 0.4481393569699358 0.007379291075659945 0.0006261937934228035 -0.07764425105523015
1.25 0.47634611532060495 0.007428499265716731 0.0006490592824856115 -0.07769825263793104
1.5 0.5045123791980318 0.0074841226522852035 0.0006729199427760091 -0.07774722743769417
1.75 0.5325465379991792 0.0075451565957376935 0.0006982679389301798 -0.07777110616485759
2.0 0.5604719153499852 0.0076135956680924745 0.0007238466132734777 -0.07777591258423451
2.25 0.5882522399685939 0.00768965064030273 0.0007508438533088354 -0.07775498804301945
2.5 0.6158063425676751 0.007779671507284105 0.000779010382971858 -0.07769380512090002
2.75 0.643088613118731 0.00788959561432341 0.0008091598834585585 -0.0775883084464804
3.0 0.6699616801484454 0.008026381016828395 0.0008433628029801526 -0.07741557787363382
3.25 0.6964003811583466 0.008201014109498299 0.000884251992285354 -0.07718129476640886
3.5 0.722358385347371 0.00841313065590482 0.0009391482962933267 -0.07687709729057993
3.75 0.7468939049310652 0.008768122411993933 0.0010568430894415217 -0.07639900848171124
4.0 0.770369816800576 0.009226015929206839 0.0012330642685468391 -0.07579499611598887
4.25 0.7936456506079209 0.009698482956022584 0.001417197880626853 -0.07516391987742035
4.75 0.8387187013314175 0.010773674112700608 0.0018556079963321986 -0.07371453929563156
5.25 0.8827346743272788 0.011926323246820303 0.0023595624828264584 -0.07213038610376789
5.5 0.9046927555842244 0.012475479468669613 0.0026216403179468804 -0.07131871605676385
5.75 0.9265875509619825 0.013001718463905335 0.0028836835565460043 -0.07048101837765414
6.0 0.9483160477296697 0.013513114257400115 0.0031475465067902497 -0.06960215784838023
6.25 0.9699386311044911 0.013987960837163672 0.0034062582972278583 -0.06868175202128209
6.5 0.9912543689605947 0.014411373505795466 0.0036485769684444116 -0.06766373677779533
6.75 1.01258417814375 0.014801239715276897 0.003877920638770686 -0.06663194650958645
7.0 1.0341505320720652 0.015190687483195835 0.004109119064789758 -0.06566928537643577
7.25 1.0556374841775216 0.015599194155392583 0.004349952555191113 -0.06472954918763836
7.5 1.0766752362890524 0.016052759393334767 0.004614758772595149 -0.06375690212751882
7.75 1.097542323611592 0.016526788907768344 0.00489293055216697 -0.06279067232111539
8.0 1.1180786376313185 0.01702832738320098 0.005188670192190235 -0.061806793447961736
8.25 1.1381468455542472 0.0175640907999028 0.00550542263986148 -0.06078716880469619
8.5 1.1575724580537992 0.01812858102441315 0.005839574163568314 -0.05970086692761711
8.75 1.175942194817013 0.01872830769498522 0.006194544805849363 -0.058473924698215426
9.0 1.1930058598942042 0.01936440721576238 0.006572575916571336 -0.05706498286541231
9.25 1.2087009157043478 0.020049728829786905 0.006984235545375542 -0.05548881594696789
9.5 1.2229142542861218 0.020800489268041747 0.0074429271664742825 -0.05376090030679995
9.75 1.2355061254662703 0.02164393689990896 0.007967379297165117 -0.05189240435759568
10.0 1.2472197128828275 0.022542344887142 0.008537321410720052 -0.04999222112226673
10.25 1.2581322820213916 0.023503670314209836 0.00915973703888135 -0.04808976746221079
10.5 1.2684022469951877 0.024537765789853668 0.009843254176134915 -0.046230218921334554
10.75 1.2781788427057998 0.025646303568930967 0.010590773530252878 -0.04444773713036035
11.0 1.2875964172402121 0.026825422200154797 0.011400615032503565 -0.042764706357501195
11.25 1.296786633916308 0.028069935932149445 0.012269791022833206 -0.04120013231894344
11.5 1.3058692397607519 0.029373210236430684 0.013194193007316467 -0.039769798681488805
11.75 1.3148245039027318 0.03073844130316366 0.014175613217022369 -0.03847194015062025
12.0 1.3232944933542854 0.03219425400677797 0.015233584381879516 -0.03727177837630086
12.25 1.331238505191669 0.03374557833341866 0.016373265807273184 -0.036171212779547504
12.5 1.3386469122263953 0.03539650415941716 0.01759900622344599 -0.035175729534096006
12.75 1.3454726416547373 0.03715467417672489 0.018918074746659796 -0.03428859584794857
13.0 1.3516185209431684 0.03903130354210752 0.02034120252868675 -0.033510713762678
13.25 1.3569991210514547 0.04104051129959453 0.021881487102367078 -0.032846867246314145
13.5 1.3615308223677922 0.043199486371818224 0.023555207161578176 -0.03230536917792484
13.75 1.3650978738632544 0.0455280909681543 0.025382117420878245 -0.03189531431371022
14.0 1.3675865054589762 0.048049770947981366 0.02738538537650853 -0.03162959195972952
14.25 1.368843523157813 0.050802321689719904 0.02960135997398715 -0.03152620392880353
14.5 1.371761575574177 0.05324311160409895 0.03152685563754465 -0.03123008790240678
14.75 1.3704584730180307 0.05646196180549834 0.034172622830929894 -0.031449126913882346
15.0 1.3691553704618844 0.05968081200689773 0.03681839002431517 -0.031668165925357906
