  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   9.750   1.3118   0.02483   0.01625  -0.0619   0.0942   1.0000
  10.250   1.3302   0.02712   0.01857  -0.0578   0.0779   1.0000
  10.500   1.3377   0.02844   0.01991  -0.0558   0.0725   1.0000
  10.750   1.3466   0.02969   0.02123  -0.0540   0.0682   1.0000
  11.000   1.3529   0.03118   0.02276  -0.0521   0.0645   1.0000
  11.250   1.3592   0.03274   0.02437  -0.0504   0.0616   1.0000
  11.500   1.3666   0.03426   0.02599  -0.0489   0.0588   1.0000
  11.750   1.3720   0.03599   0.02779  -0.0475   0.0563   1.0000
  12.000   1.3747   0.03803   0.02988  -0.0460   0.0541   1.0000
  12.250   1.3792   0.03997   0.03191  -0.0448   0.0523   1.0000
  12.500   1.3848   0.04187   0.03393  -0.0438   0.0503   1.0000
  12.750   1.3891   0.04394   0.03610  -0.0428   0.0485   1.0000
  13.000   1.3914   0.04627   0.03850  -0.0420   0.0469   1.0000
  13.250   1.3909   0.04894   0.04122  -0.0412   0.0455   1.0000
  13.500   1.3933   0.05138   0.04377  -0.0405   0.0442   1.0000
  13.750   1.3970   0.05376   0.04629  -0.0400   0.0427   1.0000
  14.000   1.3994   0.05631   0.04895  -0.0397   0.0412   1.0000
  14.250   1.4008   0.05906   0.05179  -0.0394   0.0399   1.0000
  14.500   1.4003   0.06208   0.05488  -0.0393   0.0388   1.0000
  14.750   1.3978   0.06537   0.05821  -0.0393   0.0378   1.0000
  15.000   1.4002   0.06817   0.06117  -0.0393   0.0366   1.0000
  15.250   1.4011   0.07118   0.06432  -0.0394   0.0353   1.0000
  15.500   1.4010   0.07439   0.06765  -0.0397   0.0342   1.0000
  15.750   1.4000   0.07778   0.07114  -0.0402   0.0332   1.0000
  16.000   1.3976   0.08139   0.07482  -0.0408   0.0323   1.0000
  16.250   1.3945   0.08508   0.07857  -0.0414   0.0315   1.0000
  16.500   1.3937   0.08857   0.08223  -0.0420   0.0305   1.0000
  16.750   1.3919   0.09227   0.08608  -0.0428   0.0295   1.0000
  17.000   1.3894   0.09613   0.09006  -0.0438   0.0285   1.0000
  17.250   1.3862   0.10013   0.09415  -0.0449   0.0278   1.0000
  17.500   1.3824   0.10425   0.09835  -0.0462   0.0271   1.0000
  17.750   1.3780   0.10844   0.10259  -0.0476   0.0265   1.0000
  18.000   1.3744   0.11267   0.10702  -0.0490   0.0257   1.0000
  18.250   1.3702   0.11707   0.11158  -0.0507   0.0249   1.0000
  18.500   1.3656   0.12160   0.11625  -0.0525   0.0242   1.0000
  18.750   1.3608   0.12622   0.12099  -0.0546   0.0235   1.0000
  19.000   1.3559   0.13091   0.12577  -0.0568   0.0230   1.0000
