# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Gross Wing B (T + D),0,MLEIZEOZLS,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,21,33
# x,y,z,u,w
4.617343088067385679e+02, 3.499999999999999289e+01, -1.460511977929963656e+01, 1.199999999999999956e+00, 1.373499999999999943e+00
3.908915820475201031e+02, 3.499999999999999289e+01, -1.274467895697891429e+01, 1.199999999999999956e+00, 1.497999999999999998e+00
3.200650325480888796e+02, 3.499999999999999289e+01, -1.035332643887966597e+01, 1.199999999999999956e+00, 1.622500000000000053e+00
2.492582191024577014e+02, 3.499999999999999289e+01, -7.431654612252554415e+00, 1.199999999999999956e+00, 1.746999999999999886e+00
1.784749225677610980e+02, 3.499999999999999289e+01, -3.980325218743889337e+00, 1.199999999999999956e+00, 1.871499999999999941e+00
1.077189238011338404e+02, 3.499999999999999289e+01, 0.000000000000000000e+00, 1.199999999999999956e+00, 2.000000000000000000e+00
1.784749225677608706e+02, 3.499999999999999289e+01, 3.980325218743876459e+00, 1.199999999999999956e+00, 2.128499999999999837e+00
2.492582191024576446e+02, 3.499999999999999289e+01, 7.431654612252548198e+00, 1.199999999999999956e+00, 2.253000000000000114e+00
3.200650325480889364e+02, 3.499999999999999289e+01, 1.035332643887966597e+01, 1.199999999999999956e+00, 2.377499999999999947e+00
3.908915820475200462e+02, 3.499999999999999289e+01, 1.274467895697890896e+01, 1.199999999999999956e+00, 2.501999999999999780e+00
4.617343088067385111e+02, 3.499999999999999289e+01, 1.460511977929963301e+01, 1.199999999999999956e+00, 2.626500000000000057e+00
5.325893079776170680e+02, 3.499999999999999289e+01, 1.593432562013271792e+01, 1.199999999999999956e+00, 2.750999999999999890e+00
6.034522796218507210e+02, 3.499999999999999289e+01, 1.673203839014417582e+01, 1.199999999999999956e+00, 2.875499999999999723e+00
6.743189238011336784e+02, 3.499999999999999289e+01, 1.699799999999999756e+01, 1.199999999999999956e+00, 3.000000000000000000e+00
7.451855679804168631e+02, 3.499999999999999289e+01, 1.673203839014417582e+01, 1.199999999999999956e+00, 3.124500000000000277e+00
8.160485396246505161e+02, 3.499999999999999289e+01, 1.593432562013271614e+01, 1.199999999999999956e+00, 3.249000000000000110e+00
8.869035387955291299e+02, 3.499999999999999289e+01, 1.460511977929962946e+01, 1.199999999999999956e+00, 3.373499999999999943e+00
9.577462655547474242e+02, 3.499999999999999289e+01, 1.274467895697890896e+01, 1.199999999999999956e+00, 3.498000000000000220e+00
1.028572815054178136e+03, 3.499999999999999289e+01, 1.035332643887967663e+01, 1.199999999999999956e+00, 3.622500000000000053e+00
1.099379628499809087e+03, 3.499999999999999289e+01, 7.431654612252570402e+00, 1.199999999999999956e+00, 3.746999999999999886e+00
1.170162925034506088e+03, 3.499999999999999289e+01, 3.980325218743899995e+00, 1.199999999999999956e+00, 3.871500000000000163e+00
1.240918923801133587e+03, 3.499999999999999289e+01, 0.000000000000000000e+00, 1.199999999999999956e+00, 4.000000000000000000e+00
