"Global_Index", "x_coord", "y_coord", "z_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
16, 5.604718861700000e+01, 1.232903323100000e-16, 3.013483926900000e+00, 1.199460011029027e+00, 1.667771649151968e-01, 7.255357145040866e-01
17, 5.595699962000000e+01, 3.706588040400000e-03, 3.060224057800000e+00, 1.183393915588337e+00, 1.346449740338174e-01, 7.352640274927398e-01
18, 5.592365686500000e+01, 4.428290908000000e-03, 3.139046821100000e+00, 1.182622939155209e+00, 1.331030211675608e-01, 7.364419781376674e-01
779, 5.596835121900000e+01, 3.813820809200000e-03, 2.999484445300000e+00, 1.183310394719201e+00, 1.344779322955447e-01, 7.374794005428517e-01
517, 5.587876545000000e+01, 7.241865371000000e-03, 3.067029203600000e+00, 1.172350066790713e+00, 1.125572764385692e-01, 7.488959842999711e-01
625, 5.589847040700000e+01, 7.031178728200000e-03, 2.999961116700000e+00, 1.172197559041634e+00, 1.122522609404108e-01, 7.490672482489182e-01
9, 4.517753940900000e+01, 2.088771927600000e-01, 1.629242675100000e+00, 1.093068085500094e+00, -4.600668614266912e-02, 8.147240886461682e-01
10, 4.526282710300000e+01, 1.948912336500000e-01, 1.738776565600000e+00, 1.093228515111495e+00, -4.568582691986611e-02, 8.097875669032735e-01
11, 4.531508866100000e+01, 2.153853426400000e-01, 1.626791835500000e+00, 1.096449441892226e+00, -3.924397335840402e-02, 8.135473212807307e-01
469, 4.514948040000000e+01, 1.908289971300000e-01, 1.725981423100000e+00, 1.091353911553864e+00, -4.943503403512839e-02, 8.131853087418863e-01
470, 4.504278671000000e+01, 2.017380567500000e-01, 1.631753475100000e+00, 1.105099726159285e+00, -2.194340482428592e-02, 8.054187352746893e-01
659, 4.537302008600000e+01, 2.038680008200000e-01, 1.718727661100000e+00, 1.094093683471187e+00, -4.395549020048328e-02, 8.111800868802074e-01
396, 4.518490988200000e+01, 1.705474008500000e-01, 1.838433706500000e+00, 1.091978560974055e+00, -4.818573519474611e-02, 8.036958830891355e-01
395, 4.533104148200000e+01, 1.816192595900000e-01, 1.832017598000000e+00, 1.099302633307753e+00, -3.353759052735050e-02, 8.064240360914295e-01
434, 4.545745092100000e+01, 2.214382234200000e-01, 1.624015086700000e+00, 1.095906387912044e+00, -4.033008131876947e-02, 8.118044998574154e-01
12, 5.610562955900000e+01, 1.073781812200000e-16, 2.753618778700000e+00, 1.197416881487257e+00, 1.626909058316572e-01, 7.314160595014392e-01
13, 5.600852390900000e+01, 3.819086223700000e-03, 2.820444767400000e+00, 1.184745585351535e+00, 1.373483135602122e-01, 7.348375250406609e-01
14, 5.608558964100000e+01, 1.128345992300000e-16, 2.842728847400000e+00, 1.201784664140712e+00, 1.714264711385667e-01, 7.231608551982222e-01
692, 5.603007714100000e+01, 3.946859649600000e-03, 2.712396699000000e+00, 1.184170085500224e+00, 1.361973138575907e-01, 7.345889235315773e-01
627, 5.612624790400000e+01, 1.017642708100000e-16, 2.661936664200000e+00, 1.198526565363317e+00, 1.649102735837782e-01, 7.247225410818803e-01
451, 5.606611430000000e+01, 1.181372956500000e-16, 2.929328451800000e+00, 1.199128308603430e+00, 1.661137600640039e-01, 7.282883478662283e-01
343, 5.593733596300000e+01, 8.013028421000001e-03, 2.732600168300000e+00, 1.170618174179914e+00, 1.090934912169721e-01, 7.522666346596162e-01
344, 5.591143932900000e+01, 8.055554204300000e-03, 2.843375158600000e+00, 1.170530975399165e+00, 1.089190936554738e-01, 7.504266801339239e-01
452, 5.597024752900000e+01, 4.488836870500000e-03, 2.926225226600000e+00, 1.180591070403642e+00, 1.290392836644263e-01, 7.370796834415302e-01
516, 5.601092456700000e+01, 1.331642158700000e-16, 3.174736682600000e+00, 1.199431423645537e+00, 1.667199901482163e-01, 7.309384346633295e-01
286, 5.582704124300000e+01, 9.163774606500001e-03, 3.110132352700000e+00, 1.165992075424974e+00, 9.984129370709027e-02, 7.526283017277009e-01
400, 5.582539034900000e+01, 8.561840502200000e-03, 3.175860216400000e+00, 1.166914014811630e+00, 1.016851724804040e-01, 7.529426242511542e-01
639, 5.588926833000000e+01, 5.094151331700000e-03, 3.227712612500000e+00, 1.177303359960989e+00, 1.224638627791203e-01, 7.471421487325549e-01
694, 5.595105675700000e+01, 2.403936179000000e-03, 3.211505116300000e+00, 1.193959188285438e+00, 1.557755194280190e-01, 7.268001748329493e-01
19, 4.707889158100000e+01, 1.155342348200000e-16, 2.886817242400000e+00, 1.139069820297356e+00, 4.599678345185509e-02, 7.708578453931721e-01
20, 4.709254580200000e+01, 5.917412430900000e-02, 2.847199406600000e+00, 1.149235769166518e+00, 6.632868119017975e-02, 7.920083055854654e-01
21, 4.699443630100000e+01, 1.136130526200000e-16, 2.855441956000000e+00, 1.191582615361431e+00, 1.510223735800045e-01, 7.520968266942319e-01
