  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 22112                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  12.250   1.3436   0.02096   0.01502   0.0171   0.0700   1.0000
  12.500   1.3578   0.02178   0.01582   0.0186   0.0665   1.0000
  12.750   1.3765   0.02223   0.01640   0.0196   0.0638   1.0000
  13.000   1.3906   0.02287   0.01708   0.0212   0.0607   1.0000
  13.250   1.3992   0.02386   0.01808   0.0233   0.0577   1.0000
  13.500   1.4138   0.02455   0.01888   0.0246   0.0550   1.0000
  13.750   1.4240   0.02555   0.01992   0.0261   0.0522   1.0000
  14.000   1.4293   0.02694   0.02136   0.0277   0.0496   1.0000
  14.250   1.4403   0.02802   0.02256   0.0287   0.0472   1.0000
  14.500   1.4462   0.02957   0.02416   0.0297   0.0449   1.0000
  14.750   1.4458   0.03176   0.02641   0.0305   0.0428   1.0000
  15.000   1.4527   0.03350   0.02828   0.0308   0.0410   1.0000
  15.250   1.4546   0.03583   0.03071   0.0308   0.0393   1.0000
  15.500   1.4507   0.03900   0.03395   0.0303   0.0378   1.0000
  15.750   1.4429   0.04286   0.03793   0.0291   0.0365   1.0000
  16.000   1.4407   0.04629   0.04151   0.0278   0.0354   1.0000
  16.250   1.4339   0.05046   0.04582   0.0261   0.0343   1.0000
  16.500   1.4218   0.05551   0.05100   0.0237   0.0335   1.0000
  16.750   1.4049   0.06139   0.05700   0.0209   0.0329   1.0000
  17.000   1.3835   0.06807   0.06381   0.0176   0.0324   1.0000
  17.250   1.3589   0.07531   0.07118   0.0141   0.0321   1.0000
  17.500   1.3327   0.08297   0.07896   0.0104   0.0318   1.0000
