SC(2)-0414	AIRFOIL
1.00000    0.00330
0.99000    0.00550
0.98000    0.00760
0.97000    0.00970
0.96000    0.01170
0.95000    0.01370
0.94000    0.01560
0.93000    0.01750
0.92000    0.01930
0.91000    0.02110
0.90000    0.02290
0.89000    0.02470
0.88000    0.02640
0.87000    0.02810
0.86000    0.02980
0.85000    0.03140
0.84000    0.03300
0.83000    0.03460
0.82000    0.03620
0.81000    0.03770
0.80000    0.03920
0.79000    0.04070
0.78000    0.04220
0.77000    0.04360
0.76000    0.04500
0.75000    0.04640
0.74000    0.04770
0.73000    0.04900
0.72000    0.05030
0.71000    0.05160
0.70000    0.05280
0.69000    0.05400
0.68000    0.05510
0.67000    0.05620
0.66000    0.05730
0.65000    0.05830
0.64000    0.05930
0.63000    0.06020
0.62000    0.06110
0.61000    0.06200
0.60000    0.06280
0.59000    0.06360
0.58000    0.06430
0.57000    0.06500
0.56000    0.06560
0.55000    0.06620
0.54000    0.06670
0.53000    0.06720
0.52000    0.06760
0.51000    0.06800
0.50000    0.06840
0.49000    0.06870
0.48000    0.06900
0.47000    0.06930
0.46000    0.06950
0.45000    0.06970
0.44000    0.06990
0.43000    0.07000
0.42000    0.07010
0.41000    0.07020
0.40000    0.07020
0.39000    0.07020
0.38000    0.07020
0.37000    0.07010
0.36000    0.07000
0.35000    0.06990
0.34000    0.06970
0.33000    0.06950
0.32000    0.06930
0.31000    0.06910
0.30000    0.06880
0.29000    0.06850
0.28000    0.06810
0.27000    0.06770
0.26000    0.06730
0.25000    0.06680
0.24000    0.06630
0.23000    0.06570
0.22000    0.06510
0.21000    0.06440
0.20000    0.06370
0.19000    0.06290
0.18000    0.06210
0.17000    0.06120
0.16000    0.06020
0.15000    0.05920
0.14000    0.05810
0.13000    0.05690
0.12000    0.05560
0.11000    0.05420
0.10000    0.05270
0.09000    0.05100
0.08000    0.04910
0.07000    0.04710
0.06000    0.04480
0.05000    0.04210
0.04000    0.03890
0.03000    0.03500
0.02000    0.02990
0.01000    0.02250
0.00500    0.01660
0.00200    0.01080
0.00000    0.00000
0.00200    -0.01080
0.00500    -0.01660
0.01000    -0.02250
0.02000    -0.02990
0.03000    -0.03500
0.04000    -0.03890
0.05000    -0.04210
0.06000    -0.04480
0.07000    -0.04720
0.08000    -0.04930
0.09000    -0.05120
0.10000    -0.05290
0.11000    -0.05450
0.12000    -0.05600
0.13000    -0.05730
0.14000    -0.05850
0.15000    -0.05970
0.16000    -0.06080
0.17000    -0.06180
0.18000    -0.06270
0.19000    -0.06360
0.20000    -0.06440
0.21000    -0.06510
0.22000    -0.06580
0.23000    -0.06640
0.24000    -0.06700
0.25000    -0.06750
0.26000    -0.06800
0.27000    -0.06840
0.28000    -0.06880
0.29000    -0.06910
0.30000    -0.06940
0.31000    -0.06960
0.32000    -0.06980
0.33000    -0.06990
0.34000    -0.07000
0.35000    -0.07000
0.36000    -0.07000
0.37000    -0.06990
0.38000    -0.06980
0.39000    -0.06970
0.40000    -0.06950
0.41000    -0.06930
0.42000    -0.06900
0.43000    -0.06860
0.44000    -0.06820
0.45000    -0.06770
0.46000    -0.06720
0.47000    -0.06660
0.48000    -0.06590
0.49000    -0.06510
0.50000    -0.06420
0.51000    -0.06330
0.52000    -0.06230
0.53000    -0.06120
0.54000    -0.06000
0.55000    -0.05870
0.56000    -0.05730
0.57000    -0.05580
0.58000    -0.05430
0.59000    -0.05270
0.60000    -0.05100
0.61000    -0.04920
0.62000    -0.04740
0.63000    -0.04550
0.64000    -0.04350
0.65000    -0.04150
0.66000    -0.03940
0.67000    -0.03730
0.68000    -0.03520
0.69000    -0.03300
0.70000    -0.03080
0.71000    -0.02860
0.72000    -0.02640
0.73000    -0.02420
0.74000    -0.02200
0.75000    -0.01980
0.76000    -0.01770
0.77000    -0.01560
0.78000    -0.01360
0.79000    -0.01160
0.80000    -0.00970
0.81000    -0.00780
0.82000    -0.00600
0.83000    -0.00430
0.84000    -0.00270
0.85000    -0.00120
0.86000    0.00010
0.87000    0.00130
0.88000    0.00230
0.89000    0.00320
0.90000    0.00390
0.91000    0.00440
0.92000    0.00460
0.93000    0.00460
0.94000    0.00430
0.95000    0.00380
0.96000    0.00310
0.97000    0.00210
0.98000    0.00080
0.99000    -0.00080
1.00000    -0.00270
